Tipo;Bairro;Quartos;Area;Aluguel;Condominio;Valor Bruto;Valor / m^2
Quitinete;Copacabana;1;40;1700.0;500.0;2200.0;55.0
Casa;Jardim Botânico;2;100;7000.0;0.0;7000.0;70.0
Apartamento;Centro;1;15;800.0;390.0;1190.0;79.3
Apartamento;Higienópolis;1;48;800.0;230.0;1030.0;21.5
Apartamento;Cachambi;2;50;1300.0;301.0;1601.0;32.0
Apartamento;Grajaú;2;70;1500.0;642.0;2142.0;30.6
Apartamento;Lins de Vasconcelos;3;90;1500.0;455.0;1955.0;21.7
Apartamento;Copacabana;1;40;2000.0;561.0;2561.0;64.0
Quitinete;Copacabana;1;27;1800.0;501.0;2301.0;85.2
Apartamento;Copacabana;4;243;13000.0;2000.0;15000.0;61.7
Apartamento;Freguesia (Jacarepaguá);3;54;950.0;300.0;1250.0;23.1
Apartamento;Barra da Tijuca;2;67;1700.0;589.0;2289.0;34.2
Apartamento;Tijuca;2;110;1900.0;700.0;2600.0;23.6
Casa de Condomínio;Barra da Tijuca;4;466;7500.0;2695.0;10195.0;21.9
Apartamento;Olaria;3;68;1000.0;670.0;1670.0;24.6
Apartamento;Tijuca;2;78;2000.0;700.0;2700.0;34.6
Apartamento;Ipanema;3;125;7000.0;2100.0;9100.0;72.8
Apartamento;Tijuca;1;48;750.0;772.0;1522.0;31.7
Apartamento;Barra da Tijuca;3;175;4200.0;1500.0;5700.0;32.6
Casa;Campo Grande;4;400;12000.0;0.0;12000.0;30.0
Apartamento;Botafogo;2;76;2500.0;740.0;3240.0;42.6
Apartamento;Copacabana;3;378;10000.0;2150.0;12150.0;32.1
Apartamento;Copacabana;3;180;5500.0;1780.0;7280.0;40.4
Apartamento;Recreio dos Bandeirantes;3;105;2300.0;648.0;2948.0;28.1
Apartamento;Leblon;3;110;3900.0;1500.0;5400.0;49.1
Quitinete;Copacabana;1;27;1300.0;380.0;1680.0;62.2
Apartamento;Jardim Oceânico;3;200;3500.0;1780.0;5280.0;26.4
Apartamento;Barra da Tijuca;3;70;1800.0;1095.0;2895.0;41.4
Apartamento;Copacabana;4;244;5000.0;2500.0;7500.0;30.7
Apartamento;Barra da Tijuca;3;110;4500.0;2000.0;6500.0;59.1
Apartamento;Recreio dos Bandeirantes;2;90;3000.0;1340.0;4340.0;48.2
Apartamento;Recreio dos Bandeirantes;3;100;2600.0;380.0;2980.0;29.8
Apartamento;Barra da Tijuca;3;72;2350.0;600.0;2950.0;41.0
Apartamento;Humaitá;2;180;4000.0;2500.0;6500.0;36.1
Apartamento;Recreio dos Bandeirantes;3;92;2300.0;840.0;3140.0;34.1
Apartamento;Centro;1;27;750.0;371.0;1121.0;41.5
Apartamento;Ipanema;1;35;2000.0;650.0;2650.0;75.7
Apartamento;Ipanema;1;38;1400.0;530.0;1930.0;50.8
Apartamento;Recreio dos Bandeirantes;2;83;1600.0;1160.0;2760.0;33.3
Casa de Condomínio;Barra da Tijuca;5;1600;25000.0;1600.0;26600.0;16.6
Apartamento;Barra da Tijuca;4;153;6500.0;2300.0;8800.0;57.5
Apartamento;Península;4;267;18000.0;3100.0;21100.0;79.0
Apartamento;Ipanema;3;87;3200.0;1305.0;4505.0;51.8
Apartamento;Méier;3;90;1550.0;844.0;2394.0;26.6
Apartamento;Vargem Pequena;3;53;1400.0;385.0;1785.0;33.7
Apartamento;Botafogo;3;108;5950.0;1405.0;7355.0;68.1
Apartamento;Maracanã;2;86;1800.0;600.0;2400.0;27.9
Apartamento;Recreio dos Bandeirantes;2;74;1850.0;675.0;2525.0;34.1
Apartamento;Jacarepaguá;3;74;1900.0;556.0;2456.0;33.2
Apartamento;Ipanema;3;150;8000.0;2400.0;10400.0;69.3
Apartamento;Ipanema;3;140;7900.0;2900.0;10800.0;77.1
Casa;Méier;2;51;1500.0;50.0;1550.0;30.4
Apartamento;Jardim Botânico;2;95;4000.0;1170.0;5170.0;54.4
Apartamento;Cachambi;2;60;1000.0;380.0;1380.0;23.0
Casa;São Conrado;4;730;28000.0;2000.0;30000.0;41.1
Casa de Condomínio;Freguesia (Jacarepaguá);5;140;2500.0;1200.0;3700.0;26.4
Apartamento;Leblon;2;80;3500.0;990.0;4490.0;56.1
Apartamento;Barra da Tijuca;4;240;12700.0;4400.0;17100.0;71.2
Apartamento;Barra da Tijuca;3;104;2600.0;1364.0;3964.0;38.1
Apartamento;Vila Valqueire;2;45;800.0;280.0;1080.0;24.0
Apartamento;Gávea;2;70;2800.0;680.0;3480.0;49.7
Apartamento;Barra da Tijuca;2;88;2700.0;1300.0;4000.0;45.5
