Tipo;Bairro;Quartos;Area;Aluguel;Condominio;Valor Bruto;Valor / m^2
Apartamento;Centro;1;15;800.0;390.0;1190.0;79.33333333333333
Apartamento;Higienópolis;1;48;800.0;230.0;1030.0;21.458333333333332
Apartamento;Cachambi;2;50;1300.0;301.0;1601.0;32.02
Apartamento;Grajaú;2;70;1500.0;642.0;2142.0;30.6
Apartamento;Lins de Vasconcelos;3;90;1500.0;455.0;1955.0;21.72222222222222
Apartamento;Copacabana;1;40;2000.0;561.0;2561.0;64.025
Apartamento;Freguesia (Jacarepaguá);3;54;950.0;300.0;1250.0;23.14814814814815
Apartamento;Barra da Tijuca;2;67;1700.0;589.0;2289.0;34.16417910447761
Apartamento;Tijuca;2;110;1900.0;700.0;2600.0;23.636363636363637
Apartamento;Olaria;3;68;1000.0;670.0;1670.0;24.558823529411764
Apartamento;Tijuca;2;78;2000.0;700.0;2700.0;34.61538461538461
Apartamento;Ipanema;3;125;7000.0;2100.0;9100.0;72.8
Apartamento;Tijuca;1;48;750.0;772.0;1522.0;31.708333333333332
Apartamento;Barra da Tijuca;3;175;4200.0;1500.0;5700.0;32.57142857142857
Apartamento;Botafogo;2;76;2500.0;740.0;3240.0;42.63157894736842
Apartamento;Copacabana;3;180;5500.0;1780.0;7280.0;40.44444444444444
Apartamento;Recreio dos Bandeirantes;3;105;2300.0;648.0;2948.0;28.076190476190476
Apartamento;Leblon;3;110;3900.0;1500.0;5400.0;49.09090909090909
Apartamento;Jardim Oceânico;3;200;3500.0;1780.0;5280.0;26.4
Apartamento;Barra da Tijuca;3;70;1800.0;1095.0;2895.0;41.357142857142854
Apartamento;Copacabana;4;244;5000.0;2500.0;7500.0;30.737704918032787
Apartamento;Barra da Tijuca;3;110;4500.0;2000.0;6500.0;59.09090909090909
Apartamento;Recreio dos Bandeirantes;2;90;3000.0;1340.0;4340.0;48.22222222222222
Apartamento;Recreio dos Bandeirantes;3;100;2600.0;380.0;2980.0;29.8
Apartamento;Barra da Tijuca;3;72;2350.0;600.0;2950.0;40.97222222222222
Apartamento;Humaitá;2;180;4000.0;2500.0;6500.0;36.111111111111114
Apartamento;Recreio dos Bandeirantes;3;92;2300.0;840.0;3140.0;34.130434782608695
Apartamento;Centro;1;27;750.0;371.0;1121.0;41.51851851851852
Apartamento;Ipanema;1;35;2000.0;650.0;2650.0;75.71428571428571
Apartamento;Ipanema;1;38;1400.0;530.0;1930.0;50.78947368421053
Apartamento;Recreio dos Bandeirantes;2;83;1600.0;1160.0;2760.0;33.25301204819277
Apartamento;Barra da Tijuca;4;153;6500.0;2300.0;8800.0;57.51633986928105
Apartamento;Ipanema;3;87;3200.0;1305.0;4505.0;51.7816091954023
Apartamento;Méier;3;90;1550.0;844.0;2394.0;26.6
Apartamento;Vargem Pequena;3;53;1400.0;385.0;1785.0;33.679245283018865
Apartamento;Botafogo;3;108;5950.0;1405.0;7355.0;68.10185185185185
Apartamento;Maracanã;2;86;1800.0;600.0;2400.0;27.906976744186046
Apartamento;Recreio dos Bandeirantes;2;74;1850.0;675.0;2525.0;34.12162162162162
Apartamento;Jacarepaguá;3;74;1900.0;556.0;2456.0;33.189189189189186
Apartamento;Jardim Botânico;2;95;4000.0;1170.0;5170.0;54.421052631578945
Apartamento;Cachambi;2;60;1000.0;380.0;1380.0;23.0
Apartamento;Leblon;2;80;3500.0;990.0;4490.0;56.125
Apartamento;Barra da Tijuca;3;104;2600.0;1364.0;3964.0;38.11538461538461
